utm_campaign_name,platform,actual_campaign_name,campaign_group
Brand Awareness Q4,Meta,Brand Awareness Q4,Brand
brand awareness q4,Meta,Brand Awareness Q4,Brand
Lead Generation | DE | Form,Meta,Lead Generation | DE | Form,Lead Gen
Retargeting Campaign,Meta,Retargeting Campaign,Retargeting
Product Launch 2024,Meta,Product Launch 2024,Product
Google Brand Campaign,Google,Google Brand Campaign,Brand
Google Search Prospecting,Google,Google Search Prospecting,Prospecting
Demo Requests Campaign,Meta,Demo Requests Campaign,Lead Gen
Brand Awareness Q4;1001;Interest Targeting;2001,Meta,Brand Awareness Q4,Brand
Retargeting Campaign;1003;Retargeting;2007,Meta,Retargeting Campaign,Retargeting
